年纪,语文,数学,英语,物理,化学,生物,历史,综合,等级
高二,86,80,85,57,98,76,71,80.0,丙
高三,85,66,71,77,91,62,76,76.0,丙
高三,86,99,55,52,74,96,90,86.0,乙
高二,75,79,82,98,80,78,56,79.0,丙
高三,81,53,58,88,71,78,58,71.0,丙
高三,63,99,95,88,53,87,74,87.0,乙
高二,57,71,61,76,54,76,66,66.0,丙
高一,54,73,57,84,63,88,93,73.0,丙
高一,77,53,87,89,90,99,82,87.0,乙
高二,78,77,72,51,87,94,69,77.0,丙
高二,54,82,91,78,87,59,100,82.0,丙
高三,69,76,58,86,67,70,74,70.0,丙
高二,53,61,52,83,93,98,68,68.0,丙
高二,72,67,93,51,76,100,70,72.0,丙
高二,73,62,96,57,99,64,99,73.0,丙
高二,88,55,98,82,99,100,66,88.0,乙
高三,98,64,82,55,92,60,63,64.0,丙
高三,86,79,52,85,89,84,100,85.0,乙
高一,53,56,85,99,84,97,99,85.0,乙
高一,69,57,50,80,74,55,64,64.0,丙
高二,60,70,65,83,69,65,50,65.0,丙
高二,99,73,67,76,61,84,55,73.0,丙
高三,74,95,85,81,76,76,95,81.0,丙
高一,59,83,98,75,91,93,100,91.0,甲
高一,68,93,76,68,85,66,75,75.0,丙
高二,50,88,73,61,51,94,61,61.0,丙
高二,94,76,68,55,64,66,70,68.0,丙
高二,91,58,59,56,79,95,100,79.0,丙
高二,57,79,54,60,89,90,91,79.0,丙
高一,51,89,90,74,93,95,96,90.0,甲
高一,90,75,84,57,91,95,65,84.0,丙
高一,59,79,91,72,79,96,95,79.0,丙
高一,51,87,83,90,91,66,92,87.0,乙
高三,61,88,65,70,58,66,82,66.0,丙
高一,69,59,85,69,86,53,63,69.0,丙
高一,86,66,62,53,60,63,97,63.0,丙
高三,98,93,51,65,75,52,99,75.0,丙
高二,60,93,61,55,77,93,90,77.0,丙
高三,87,95,56,51,53,62,62,62.0,丙
高二,84,77,83,72,53,91,90,83.0,丙
高二,95,56,87,73,57,90,90,87.0,乙
高三,99,92,71,81,50,55,70,71.0,丙
高三,89,84,58,56,80,60,81,80.0,丙
高一,87,80,77,71,82,89,98,82.0,丙
高三,57,77,78,54,93,94,79,78.0,丙
高三,84,64,64,77,54,90,66,66.0,丙
高三,94,76,98,90,89,54,87,89.0,乙
高二,100,56,67,74,77,94,54,74.0,丙
高二,76,68,76,91,66,98,55,76.0,丙
高一,77,52,98,72,56,74,72,72.0,丙
高二,74,50,75,71,88,96,55,74.0,丙
高一,97,82,80,70,86,71,76,80.0,丙
高三,50,62,85,72,96,80,82,80.0,丙
高二,60,89,58,76,82,53,64,64.0,丙
高二,65,69,95,85,81,98,88,85.0,乙
高三,68,65,78,59,64,86,65,65.0,丙
高一,68,96,99,71,86,68,96,86.0,乙
高三,88,90,63,70,72,98,86,86.0,乙
高二,81,56,92,71,57,58,63,63.0,丙
高二,68,89,67,69,100,70,69,69.0,丙
高一,62,93,59,84,95,73,52,73.0,丙
高三,63,59,82,100,83,78,69,78.0,丙
高三,86,78,65,52,70,88,58,70.0,丙
高一,59,59,74,100,71,80,87,74.0,丙
高一,67,76,53,50,63,97,50,63.0,丙
高二,62,81,96,79,88,71,71,79.0,丙
高二,81,64,82,90,63,98,82,82.0,丙
高一,77,94,81,71,92,70,97,81.0,丙
高三,57,61,83,97,74,99,74,74.0,丙
高三,91,89,97,88,81,75,87,88.0,乙
高三,84,69,99,71,69,58,94,71.0,丙
高三,57,96,90,90,73,93,93,90.0,甲
高二,68,89,92,84,69,74,90,84.0,丙
高二,81,79,100,52,74,80,90,80.0,丙
高三,63,50,68,79,84,99,53,68.0,丙
高一,71,93,85,52,83,57,51,71.0,丙
高三,64,55,81,75,52,84,65,65.0,丙
高一,60,50,82,98,79,56,79,79.0,丙
高三,69,55,100,73,90,89,95,89.0,乙
高一,91,54,87,95,57,69,68,69.0,丙
高一,90,53,72,79,79,72,95,79.0,丙
高二,78,72,73,54,96,50,69,72.0,丙
高二,55,55,97,67,77,85,82,77.0,丙
高二,62,89,58,100,53,65,67,65.0,丙
高一,74,73,84,81,50,61,80,74.0,丙
高一,94,63,99,83,90,56,52,83.0,丙
高二,52,61,50,54,100,93,84,61.0,丙
高一,51,55,68,70,94,62,68,68.0,丙
高二,99,65,78,75,99,98,63,78.0,丙
高一,61,94,62,66,56,83,65,65.0,丙
高二,99,72,78,85,87,76,53,78.0,丙
高三,53,50,66,72,68,90,50,66.0,丙
高二,99,58,74,90,90,60,99,90.0,甲
高一,63,74,53,59,89,85,53,63.0,丙
高一,81,99,54,77,58,60,92,77.0,丙
高三,92,70,64,69,76,79,63,70.0,丙
高二,52,65,52,98,54,73,66,65.0,丙
高三,68,57,58,98,75,67,56,67.0,丙
高二,71,84,50,93,68,99,51,71.0,丙
高三,100,85,69,81,82,76,68,81.0,丙
高一,58,72,80,75,93,66,55,72.0,丙
高三,84,64,59,81,95,95,66,81.0,丙
高二,58,96,94,89,70,100,66,89.0,乙
高二,82,77,63,64,66,53,90,66.0,丙
高三,80,99,84,61,67,91,50,80.0,丙
高一,92,69,77,66,66,60,58,66.0,丙
高二,80,96,98,90,60,100,74,90.0,甲
高二,83,86,80,70,99,86,84,84.0,丙
高二,100,61,67,51,61,98,77,67.0,丙
高二,75,89,50,51,55,83,95,75.0,丙
高三,63,65,94,91,61,93,90,90.0,甲
高二,93,90,80,83,76,71,82,82.0,丙
高二,63,79,62,57,73,62,55,62.0,丙
高二,61,98,54,59,66,91,94,66.0,丙
高一,50,91,63,69,92,68,53,68.0,丙
高三,57,97,80,52,74,57,90,74.0,丙
高一,100,90,96,57,79,59,87,87.0,乙
高二,62,86,91,79,90,82,78,82.0,丙
高三,88,98,76,83,96,59,95,88.0,乙
高二,76,86,96,51,83,61,54,76.0,丙
高一,81,50,92,78,86,76,95,81.0,丙
高一,61,93,60,92,58,50,92,61.0,丙
高二,57,51,62,89,65,98,89,65.0,丙
高三,51,61,97,64,92,78,87,78.0,丙
高二,56,55,73,92,52,72,97,72.0,丙
高三,76,85,75,58,53,72,76,75.0,丙
高二,78,67,80,74,78,56,60,74.0,丙
高二,88,82,53,89,59,68,88,82.0,丙
高二,80,96,89,57,71,68,85,80.0,丙
高三,98,57,99,96,90,54,51,90.0,甲
高二,73,75,71,83,74,90,50,74.0,丙
高二,98,93,63,92,98,63,64,92.0,甲
高二,97,57,90,71,80,53,82,80.0,丙
高二,70,97,54,60,69,86,57,69.0,丙
高二,89,64,56,68,72,68,90,68.0,丙
高一,91,89,50,88,88,60,81,88.0,乙
高一,87,59,96,82,66,94,84,84.0,丙
高三,58,79,55,83,99,100,63,79.0,丙
高三,96,88,78,64,51,91,75,78.0,丙
高三,72,70,68,93,69,95,50,70.0,丙
高二,84,88,69,69,99,52,70,70.0,丙
高二,53,57,90,80,86,63,65,65.0,丙
高二,64,83,67,58,94,98,84,83.0,丙
高一,91,53,55,72,97,96,90,90.0,甲
高二,68,63,94,83,95,61,80,80.0,丙
高一,80,76,93,60,75,71,75,75.0,丙
高三,87,56,68,74,66,88,60,68.0,丙
高三,64,84,75,97,95,53,82,82.0,丙
高二,85,61,73,72,63,75,96,73.0,丙
高二,87,70,54,86,53,98,80,80.0,丙
高一,62,87,72,58,98,59,84,72.0,丙
高一,76,91,63,79,53,84,75,76.0,丙
高二,75,90,65,83,53,86,79,79.0,丙
高三,79,64,78,53,72,65,63,65.0,丙
高三,90,54,56,74,56,99,84,74.0,丙
高三,72,56,57,94,50,79,87,72.0,丙
高一,81,68,76,65,83,87,65,76.0,丙
高二,91,90,79,80,65,64,95,80.0,丙
高一,85,97,94,71,71,65,99,85.0,乙
高三,76,75,88,89,81,92,93,88.0,乙
高一,77,94,67,94,92,59,86,86.0,乙
高一,72,97,92,76,84,56,82,82.0,丙
高一,83,95,83,67,75,71,97,83.0,丙
高三,69,57,63,75,72,84,98,72.0,丙
高二,74,82,78,56,79,67,77,77.0,丙
高一,83,84,86,83,95,58,88,84.0,丙
高二,96,80,95,81,83,83,91,83.0,丙
高一,87,53,64,82,53,90,69,69.0,丙
高一,74,59,53,97,56,68,82,68.0,丙
高二,88,59,67,86,95,63,78,78.0,丙
高三,71,97,62,83,61,55,68,68.0,丙
高二,88,56,50,69,95,54,54,56.0,丁
高二,57,98,63,58,66,59,79,63.0,丙
高三,89,57,65,86,70,54,81,70.0,丙
高一,66,67,82,66,61,82,96,67.0,丙
高三,89,59,67,60,90,100,86,86.0,乙
高一,94,91,71,69,87,60,52,71.0,丙
高二,68,61,97,82,83,55,69,69.0,丙
高二,85,82,52,57,87,58,92,82.0,丙
高二,95,64,66,62,98,75,60,66.0,丙
高二,74,73,60,51,81,92,54,73.0,丙
高一,53,80,54,72,85,98,67,72.0,丙
高三,92,57,85,82,54,95,54,82.0,丙
高三,67,88,96,74,55,86,85,85.0,乙
高三,70,85,73,89,59,83,75,75.0,丙
高三,81,62,60,77,83,92,81,81.0,丙
高二,90,55,98,79,55,58,80,79.0,丙
高二,73,71,62,76,94,50,98,73.0,丙
高三,100,57,87,64,59,57,66,64.0,丙
高三,98,57,77,91,99,84,56,84.0,丙
高三,78,97,71,61,97,67,64,71.0,丙
高三,60,99,56,50,79,72,60,60.0,丙
高一,61,59,88,64,52,87,84,64.0,丙
高一,73,64,93,53,90,91,65,73.0,丙
高二,97,100,96,56,94,83,51,94.0,甲
高一,94,51,67,86,71,55,75,71.0,丙
高三,79,76,89,59,97,54,76,76.0,丙
高一,84,87,56,84,97,59,78,84.0,丙
高一,88,58,63,80,81,99,56,80.0,丙
高二,79,77,98,53,74,54,100,77.0,丙
高二,78,65,98,80,77,76,99,78.0,丙
高一,89,53,67,86,83,85,92,85.0,乙
高二,59,87,71,70,80,84,79,79.0,丙
高二,95,92,65,80,77,75,77,77.0,丙
高一,100,96,94,73,57,92,98,94.0,甲
高二,50,60,81,51,76,72,75,72.0,丙
高三,60,88,84,77,67,52,59,67.0,丙
高一,76,88,84,51,74,64,66,74.0,丙
高二,61,84,53,60,60,94,74,61.0,丙
高一,78,71,54,97,95,84,58,78.0,丙
高二,55,95,90,86,80,71,72,80.0,丙
高二,74,71,60,57,59,67,83,67.0,丙
高一,90,50,95,52,67,98,73,73.0,丙
高三,81,68,53,62,79,62,56,62.0,丙
高二,57,97,90,60,64,80,73,73.0,丙
高三,59,96,98,92,57,96,81,92.0,甲
高三,86,68,77,73,52,56,60,68.0,丙
高二,80,78,66,100,71,78,67,78.0,丙
高三,67,50,84,97,83,96,53,83.0,丙
高三,78,54,92,63,53,62,83,63.0,丙
高三,79,72,77,96,62,54,56,72.0,丙
高二,100,68,94,58,84,63,100,84.0,丙
高三,99,100,84,75,97,68,79,84.0,丙
高二,61,51,93,99,62,76,91,76.0,丙
高三,85,51,68,69,63,100,77,69.0,丙
高一,88,90,91,59,66,67,84,84.0,丙
高二,99,50,66,74,59,65,99,66.0,丙
高二,76,73,68,86,98,89,52,76.0,丙
高一,67,85,77,85,94,95,62,85.0,乙
高三,57,88,90,79,54,62,85,79.0,丙
高三,81,61,74,99,75,69,65,74.0,丙
高三,55,90,79,61,75,55,60,61.0,丙
高一,52,83,82,75,66,82,66,75.0,丙
高三,86,69,85,95,67,55,89,85.0,乙
高三,86,70,72,90,87,63,57,72.0,丙
高一,90,86,74,56,56,90,56,74.0,丙
高二,67,53,53,53,56,74,88,56.0,丁
高三,65,58,81,76,74,65,53,65.0,丙
高三,52,90,64,57,57,90,91,64.0,丙
高一,81,95,96,53,95,94,88,94.0,甲
高一,91,87,67,95,57,91,80,87.0,乙
高二,60,86,66,50,57,71,86,66.0,丙
高二,96,50,69,55,64,90,55,64.0,丙
高二,54,53,52,94,74,55,98,55.0,丁
高二,96,59,83,72,54,57,72,72.0,丙
高二,63,91,86,86,86,87,97,86.0,乙
高一,54,60,87,86,100,76,67,76.0,丙
高一,74,79,80,85,52,89,62,79.0,丙
高一,56,94,96,55,89,93,94,93.0,甲
高一,67,75,91,96,70,73,86,75.0,丙
高一,82,50,68,67,96,77,82,77.0,丙
高三,58,93,70,80,90,84,81,81.0,丙
高二,74,89,57,74,50,73,94,74.0,丙
高二,85,83,82,79,63,66,78,79.0,丙
高二,53,90,81,74,51,87,96,81.0,丙
高一,66,69,61,71,89,93,76,71.0,丙
高二,81,96,96,84,66,78,54,81.0,丙
高三,55,60,51,65,53,78,62,60.0,丙
高二,77,75,50,51,95,54,94,75.0,丙
高一,57,65,93,57,51,66,59,59.0,丁
高一,99,89,67,88,93,60,65,88.0,乙
高一,87,80,51,97,72,54,70,72.0,丙
高二,75,55,62,88,51,91,72,72.0,丙
高三,64,52,94,71,60,93,74,71.0,丙
高一,54,100,71,90,93,50,93,90.0,甲
高一,61,67,88,56,98,91,53,67.0,丙
高一,70,52,53,69,72,63,53,63.0,丙
高三,87,68,71,94,83,89,100,87.0,乙
高二,84,60,87,73,83,70,87,83.0,丙
高二,60,84,94,61,80,78,66,78.0,丙
高三,53,76,84,59,91,88,82,82.0,丙
高二,67,89,94,67,68,92,98,89.0,乙
高一,60,79,86,87,84,91,78,84.0,丙
高一,53,95,79,69,53,59,92,69.0,丙
高三,86,67,59,59,100,57,94,67.0,丙
高二,100,54,88,76,82,59,78,78.0,丙
高二,68,52,92,100,79,84,96,84.0,丙
高三,60,83,70,69,76,95,96,76.0,丙
高二,82,94,72,87,68,77,67,77.0,丙
高二,70,76,57,84,60,63,94,70.0,丙
高一,77,86,94,78,80,51,67,78.0,丙
高一,61,61,56,51,97,95,73,61.0,丙
高一,88,63,93,58,80,98,95,88.0,乙
高三,68,88,70,69,89,80,60,70.0,丙
高一,93,75,92,56,52,90,79,79.0,丙
高三,100,99,52,85,77,53,76,77.0,丙
高三,96,74,87,59,73,68,55,73.0,丙
高二,55,84,62,95,87,72,86,84.0,丙
高一,96,69,82,63,57,57,83,69.0,丙
高三,83,85,80,74,93,53,63,80.0,丙
高一,78,55,62,61,95,93,50,62.0,丙
高一,77,58,63,92,94,50,67,67.0,丙
高一,53,100,82,82,75,81,63,81.0,丙
高二,96,84,78,51,95,60,89,84.0,丙
高二,74,60,71,84,88,86,77,77.0,丙
高三,98,60,69,77,72,62,63,69.0,丙
高一,61,100,67,67,71,96,99,71.0,丙
高二,100,91,100,69,67,88,65,88.0,乙
高三,73,60,50,73,87,84,77,73.0,丙
高一,92,51,51,84,83,55,76,76.0,丙
高三,95,95,67,68,72,87,66,72.0,丙
高一,95,60,56,71,85,99,70,71.0,丙
高二,93,54,80,60,88,79,51,79.0,丙
高二,96,81,86,71,100,98,64,86.0,乙
高二,72,80,55,85,97,71,100,80.0,丙
高二,98,52,79,60,51,70,99,70.0,丙
高一,72,50,87,79,86,92,64,79.0,丙
高二,94,77,69,94,100,56,68,77.0,丙
高三,61,94,84,50,54,78,71,71.0,丙
高三,71,87,77,87,86,97,77,86.0,乙
高三,63,58,88,59,93,83,55,63.0,丙
高一,72,96,62,88,91,95,66,88.0,乙
高一,66,58,65,53,56,67,73,65.0,丙
高二,97,76,79,86,61,92,69,79.0,丙
高一,55,55,88,97,54,87,63,63.0,丙
高一,58,67,73,53,76,69,100,69.0,丙
高二,66,50,80,76,94,67,95,76.0,丙
高一,79,73,50,99,100,59,71,73.0,丙
高三,64,81,98,79,93,75,97,81.0,丙
高二,61,87,52,66,98,100,79,79.0,丙
高一,50,85,78,61,96,77,74,77.0,丙
高二,53,60,57,57,67,74,68,60.0,丙
高三,95,89,81,70,50,76,85,81.0,丙
高三,66,62,60,77,52,95,57,62.0,丙
高三,64,81,86,54,85,51,92,81.0,丙
高三,54,87,66,56,52,76,86,66.0,丙
高二,92,89,59,76,63,73,100,76.0,丙
高三,87,93,63,77,60,87,61,77.0,丙
高一,99,65,60,79,97,89,94,89.0,乙
高一,59,78,67,62,67,59,100,67.0,丙
高一,73,65,68,97,51,63,54,65.0,丙
高二,80,55,94,86,99,87,63,86.0,乙
高一,65,70,55,82,60,91,93,70.0,丙
高三,55,56,91,99,54,63,92,63.0,丙
高一,73,50,51,71,89,98,79,73.0,丙
高一,93,52,63,63,62,71,96,63.0,丙
高三,82,52,97,83,88,83,88,83.0,丙
高二,60,74,94,89,74,77,51,74.0,丙
高一,96,97,95,57,71,59,51,71.0,丙
高一,79,53,94,80,59,91,92,80.0,丙
高三,67,97,92,75,57,76,96,76.0,丙
高二,65,65,85,81,96,73,68,73.0,丙
高一,77,87,68,54,74,83,79,77.0,丙
高一,89,55,76,98,56,92,50,76.0,丙
高一,82,82,90,97,63,56,68,82.0,丙
高二,59,73,90,62,60,73,72,72.0,丙
高三,50,64,87,65,74,93,91,74.0,丙
高一,94,99,89,93,72,71,81,89.0,乙
高一,88,86,75,56,57,84,80,80.0,丙
高一,87,68,93,98,52,79,76,79.0,丙
高三,87,74,53,50,85,55,99,74.0,丙
高二,94,79,91,53,83,61,55,79.0,丙
高一,79,91,54,62,58,60,84,62.0,丙
高一,74,66,83,53,64,99,59,66.0,丙
高一,68,93,91,64,95,66,81,81.0,丙
高二,54,59,56,74,86,55,83,59.0,丁
高二,82,88,60,51,85,69,64,69.0,丙
高一,67,52,60,81,70,72,53,67.0,丙
高三,57,54,85,54,73,74,90,73.0,丙
高三,83,97,78,97,65,52,58,78.0,丙
高一,96,85,77,64,92,65,83,83.0,丙
高二,96,99,86,91,92,88,71,91.0,甲
高二,73,64,73,57,79,63,68,68.0,丙
高一,84,69,81,86,55,99,67,81.0,丙
高三,99,65,71,93,82,68,55,71.0,丙
高三,66,56,76,73,95,97,71,73.0,丙
高三,100,89,78,77,73,89,76,78.0,丙
高三,84,62,96,52,77,70,64,70.0,丙
高二,73,96,93,76,78,84,84,84.0,丙
高二,69,69,81,95,70,88,79,79.0,丙
高三,65,70,53,86,68,70,84,70.0,丙
高二,97,79,76,66,90,51,90,79.0,丙
高二,62,78,86,77,94,85,95,85.0,乙
高一,91,66,65,77,76,65,85,76.0,丙
高三,72,78,95,81,97,100,74,81.0,丙
高一,52,54,50,96,76,51,88,54.0,丁
高二,92,81,97,97,64,93,81,92.0,甲
高三,82,56,72,72,71,100,55,72.0,丙
高三,88,99,74,69,76,82,94,82.0,丙
高一,84,73,81,100,99,67,93,84.0,丙
高二,94,62,87,70,81,89,86,86.0,乙
高二,64,89,60,51,92,66,77,66.0,丙
高二,58,64,95,68,89,55,59,64.0,丙
高三,64,77,91,81,95,70,51,77.0,丙
高二,79,78,50,67,86,83,77,78.0,丙
高一,60,55,55,59,51,66,70,59.0,丁
高一,88,56,75,96,59,77,71,75.0,丙
高一,52,93,72,99,91,75,55,75.0,丙
高二,88,77,94,60,85,97,59,85.0,乙
高二,98,94,86,84,50,55,90,86.0,乙
高三,69,84,87,62,64,88,66,69.0,丙
高三,79,97,76,55,99,58,85,79.0,丙
高一,80,51,77,58,63,62,89,63.0,丙
高一,70,93,72,88,70,87,91,87.0,乙
高三,75,54,55,83,94,55,88,75.0,丙
高二,52,89,69,65,65,77,83,69.0,丙
高三,86,87,94,59,96,96,60,87.0,乙
高一,63,99,100,95,76,76,71,76.0,丙
高一,66,71,95,87,60,91,83,83.0,丙
高一,79,83,89,66,54,93,70,79.0,丙
高三,50,82,54,58,99,62,68,62.0,丙
高一,74,97,54,57,64,71,72,71.0,丙
高二,51,99,65,80,71,53,96,71.0,丙
高二,72,73,60,74,86,58,52,72.0,丙
高二,76,56,96,61,53,61,56,61.0,丙
高二,90,63,80,75,74,98,90,80.0,丙
高一,52,91,58,62,80,67,93,67.0,丙
高二,80,50,92,85,63,53,59,63.0,丙
高三,71,95,61,96,77,92,68,77.0,丙
高三,71,55,70,53,95,61,93,70.0,丙
高一,73,53,58,73,68,68,86,68.0,丙
高三,70,86,94,82,81,60,91,82.0,丙
高二,60,61,87,50,53,91,58,60.0,丙
高一,59,100,98,81,80,80,96,81.0,丙
高三,75,60,55,99,92,83,83,83.0,丙
高三,83,79,70,70,81,96,50,79.0,丙
高三,84,50,93,73,54,84,97,84.0,丙
高一,84,66,88,80,58,72,53,72.0,丙
高二,74,93,76,62,54,57,70,70.0,丙
高二,75,52,67,91,65,61,77,67.0,丙
高二,58,83,97,84,81,72,94,83.0,丙
高一,68,52,82,70,76,77,77,76.0,丙
高一,74,73,53,77,52,67,59,67.0,丙
高三,76,75,95,72,63,56,71,72.0,丙
高三,70,71,93,53,98,80,64,71.0,丙
高一,59,98,67,69,88,52,57,67.0,丙
高一,50,85,51,76,61,68,74,68.0,丙
高三,69,56,57,85,66,97,76,69.0,丙
高一,80,82,55,83,70,57,63,70.0,丙
高二,100,96,51,95,54,77,74,77.0,丙
高三,100,61,60,53,72,69,50,61.0,丙
高三,88,52,58,57,84,94,64,64.0,丙
高一,71,85,67,74,93,99,75,75.0,丙
高三,60,71,94,96,79,51,95,79.0,丙
高三,96,80,73,52,86,52,84,80.0,丙
高三,82,82,66,69,98,60,99,82.0,丙
高二,81,81,94,75,88,86,99,86.0,乙
高一,71,55,56,73,96,78,99,73.0,丙
高二,56,79,54,90,71,68,100,71.0,丙
高一,100,56,76,52,60,69,90,69.0,丙
高三,74,62,70,52,72,57,83,70.0,丙
高一,90,58,55,73,87,88,62,73.0,丙
高一,71,62,58,78,78,96,86,78.0,丙
高一,94,72,80,62,93,99,59,80.0,丙
高一,80,79,87,82,88,74,53,80.0,丙
高一,99,56,53,88,50,81,59,59.0,丁
